asset_plant_id,fleet_number,number_plate,fleet_description,owner_id,chassis_number,year_of_manufacture,colour,current_smr_index,engine_number,engine_capacity_cc,current_site_id,current_contract_id,ledger_code,tank_capacity_litres,capacity_tons,capacity_m3_loose,capacity_m3_tight,maximum_consumption,minimum_consumption,maximum_smr_on_full_tank,request_weekly_mileage,sent,current_location,plant_subcategory_id,plant_category_id,make_id,model_id,current_operator_id,track_consumption,track_smr_reading,driver_or_operator,horse_or_trailer,smr_reader_type,fuel_type,is_prime_mover,created_by
22,AS20,AEN3045,LDV SC Toyota Hilux 2.4 D,1,NULL,1994,Blue,1,2L3533103,2400,NULL,NULL,NULL,65,NULL,15,12,15,13,1000,1,0,Harare,NULL,2,1,1,NULL,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
23,AS21,AEK5485,SUV Toyota Landcruiser,1,JTEHXC05J104021942,2003,Silver,1,1HD0256149,4200cc,2,106,NULL,170,NULL,15,12,7,5,1000,1,1,Harare,NULL,2,1,1,821,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
24,AS22,AEJ9350,NULL,1,NULL,NULL,NULL,1,2.7195E+13,NULL,NULL,NULL,NULL,62,NULL,15,12,11,9,1000,1,0,Harare,NULL,2,5,4,NULL,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
25,AS23,AEO0859,Sedan Honda Fit,1,GD12407231,2007,Purple,1,L13A2332238,1300cc,1,121,NULL,42,NULL,15,12,15,12,1000,1,1,Harare,NULL,2,6,5,114,TRUE,TRUE,DRIVER,NONE,KILOMETER,PETROL,NONE,MIGRATION
26,AS24,AEK9523,LDV SC Toyota Hilux Revo,1,MR0FA8CB200301938,2017,White,1,IGD0336475,2800cc,2,106,NULL,80,NULL,15,12,13,10,1000,1,1,Harare ,NULL,2,1,1,1931,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
27,AS25,AEK9516,LDV SC Toyota Hilux Revo,7,MR0EB8CB900856247,2017,White,1,2GD4296493,2400cc,2,106,NULL,80,NULL,15,12,16,13,1000,0,0,Harare,NULL,2,1,1,2688,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
29,AS27,AEN0750,NULL,1,NULL,NULL,NULL,1,1GD0349967,2800,NULL,NULL,NULL,80,NULL,15,12,13,10,1000,1,0,Harare,NULL,2,1,6,NULL,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
30,AS28,AEN4077,SUV Toyota Fortuner,1,AHTKA3FS700617821,2017,Grey,1,IGD0359540,2800cc,2,106,NULL,80,NULL,15,12,12,10,1000,1,1,Harare,NULL,2,1,1,2252,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
31,AS29,AEN4076,LDV SC Toyota Hilux Revo,1,MR0EB8CB200562312,2017,White,1,2GDC266749,2400cc,1,121,NULL,80,NULL,15,12,16,13,1000,1,1,Harare,NULL,2,1,1,28,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
32,AS30,AEN8267,LDV SC Toyota Hilux Revo,1,AHTEB6CB902509463,2018,White,1,2GD0386227,2400cc,1,121,NULL,80,NULL,15,12,16,13,1000,1,1,Harare,NULL,2,1,1,2417,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
33,AS31,AEN8266,LDV SC Toyota Hilux Revo,1,AHTEB6CB202509501,2018,White,1,2GD0382235,2400cc,30,151,NULL,80,NULL,15,12,16,13,1000,1,1,Harare,NULL,2,1,1,811,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
36,AS38,AEY3289,NULL,1,NULL,NULL,NULL,1,1KD1806230,3000,NULL,NULL,NULL,70,NULL,15,12,11,9,1000,1,0,Harare,NULL,2,1,8,NULL,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
37,AS39,AEY3672,Sedan Toyota Corolla,1,NZE1213099915,2001,Gold,1,1NZA330444,1500cc,13,102,NULL,50,NULL,15,12,15,12,1000,1,1,Bulawayo,NULL,2,1,1,868,TRUE,TRUE,DRIVER,NONE,KILOMETER,PETROL,NONE,MIGRATION
38,AS42,ACN7074,NULL,1,NULL,NULL,NULL,1,,1400,NULL,NULL,NULL,45,NULL,15,12,13,10,1000,1,0,Harare,NULL,2,1,9,NULL,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
39,AS45,ACN1103,SUV Toyota Prado,1,KZJ950075162,1997,Green,1,IKZ0534962,3000cc,1,121,NULL,87,NULL,15,12,10,7,1000,1,1,Harare,NULL,2,1,1,4,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
40,AS46,ACN7072,NULL,1,NULL,NULL,NULL,1,,3000,NULL,NULL,NULL,87,NULL,15,12,9,7,1000,1,0,Harare,NULL,2,1,NULL,NULL,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
41,AS49,AZI2014,LDV DC Toyota Hilux D4D ( Double Cab ),1,NULL,2014,White,1,1KD-5297047,NULL,NULL,NULL,25016,80,NULL,15,12,11,9,1000,0,0,Harare,NULL,2,1,1,NULL,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
42,AS50,AEX2692,NULL,1,NULL,NULL,NULL,1,,2800,NULL,NULL,NULL,80,NULL,15,12,13,10,1000,1,0,Harare,NULL,2,1,6,NULL,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
43,AS51,AEX4892,NULL,1,NULL,NULL,NULL,1,1GD4509322,2800,NULL,NULL,NULL,80,NULL,15,12,13,10,1000,1,0,Harare,NULL,2,1,6,NULL,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
44,AS54,ABE2996,NULL,1,NULL,NULL,NULL,1,338660,2800,NULL,NULL,NULL,75,NULL,15,12,13,10,1000,1,0,Harare,NULL,2,2,NULL,NULL,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
47,AS58,ACO3150,LDV SC Toyota Hilux,1,AHTCS12G107571711,2011,White,1,2KD5572479,2500cc,1,121,NULL,80,NULL,15,12,14,11,1000,1,1,Harare,NULL,2,1,1,2184,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
48,AS61,ADV 5885,VAN Toyota Hilux,1,LN560189542,1991,Blue,1,ZL2629854,2400cc,2,122,NULL,80,NULL,15,12,15,13,1000,1,1,Bulawayo,NULL,2,1,1,796,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
49,AS62,AEU6802,NULL,1,NULL,NULL,NULL,1,,3000,NULL,NULL,NULL,100,NULL,15,12,10,7,1000,1,0,Harare,NULL,2,1,NULL,NULL,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
50,AS64,AFB1148,LDV KC Toyota Hilux Revo  ( King Cab ),1,MR0HA8CC001007465,2018,White,1,1GD4531037,2800cc,2,122,NULL,80,NULL,15,12,13,10,1000,1,1,Bulawayo,NULL,2,1,1,2416,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
51,AS65,AEX7966,LDV SC Isuzu KB 250 L 4x2,1,ACVMRRAR5H4012251,2018,White,1,AJA13M5845,2500cc,1,121,NULL,80,NULL,15,12,14,11,1000,1,0,Harare,NULL,2,2,10,NULL,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
52,AS68,AFC9707,LDV KC Toyota Hilux Revo,0,MROHA8CC701008208,2018,White,1,1GD4614720,2800cc,2,106,NULL,80,NULL,15,12,13,10,1000,1,1,Harare ,NULL,2,1,1,809,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
53,AS69,ABH5595,"SUV Toyota Land Cruiser (White) 4,2 Ltr",1,HDJ1010020530,NULL,White,1,HDS1010020530,4200cc,2,106,NULL,170,NULL,15,12,9,7,1000,1,1,Harare,NULL,2,1,1,793,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
54,AS70,AFC9745,LDV SC Toyota Hilux Revo,1,MR0FA8CB500313,NULL,White,1,1GDFTV,2800cc,12,123,NULL,80,NULL,15,12,13,10,1000,1,1,Harare,NULL,2,1,1,2685,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
55,AS72,AFC9951,LDV SC Toyota Hilux Revo,1,MROFA8CB300313757,2019,White,1,1GD0628359,2800cc,1,121,NULL,80,NULL,15,12,13,10,1000,0,0,SOUTH AFRICA ,NULL,2,1,1,2066,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
56,AS73,AFC9952,LDV SC Toyota Hilux Revo,1,MROFA8CBX00314419,2019,White,1,1GD4647831,2800cc,1,121,NULL,80,NULL,15,12,13,10,1000,1,1,Harare,NULL,2,1,1,2419,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
57,AS74,AFB7824,Sedan Honda Fit,1,GE61096417,2008,Purple,1,L13A4107030,1300cc,1,105,NULL,42,NULL,15,12,15,12,1000,1,1,Harare,NULL,2,6,5,1735,TRUE,TRUE,DRIVER,NONE,KILOMETER,PETROL,NONE,MIGRATION
58,AS75,AEN3319,SUV Lexus LX 450 d,1,NULL,2017,White,1,,NULL,13,102,NULL,93,NULL,15,12,9,7,1000,0,0,Harare,NULL,2,7,11,798,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
59,AS76,AFE5531,LDV SC Toyota Hilux Revo,1,TROFA8CB300318005,2019,White,1,IGD0718526,2800cc,1,121,NULL,80,NULL,15,12,13,10,1000,1,1,Hwange,NULL,2,1,1,2418,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
60,AS77,AFE5533,LDV SC Toyota Hilux Revo,1,MROFA8CB300317999,2019,White,1,1GD0716496,2800cc,2,106,NULL,80,NULL,15,12,13,10,1000,1,1,Harare,NULL,2,1,1,293,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
61,AS78,AFE6019,NULL,1,NULL,NULL,NULL,1,,2800,NULL,NULL,NULL,80,NULL,15,12,13,10,1000,1,0,Harare,NULL,2,1,6,NULL,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
62,AS79,AFE6246,NULL,1,NULL,NULL,NULL,1,IGD0724006,2800,NULL,NULL,NULL,80,NULL,15,12,13,10,1000,1,0,Harare,NULL,2,1,6,NULL,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
63,AS80,AFF5353,LDV SC Toyota Hilux Revo,1,MROEB8CB500904830,2019,White,1,2GD44701,2400cc,2,106,NULL,80,NULL,15,12,16,13,1000,1,1,Harare ,NULL,2,1,1,1737,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
64,AS81,ADT8707,"Sedan VW Polo 1,4 L",1,WVWZZZ9NZ3D078873,2002,Red,1,BBY175358,1200cc,1,121,NULL,45,NULL,15,12,10,8,1000,1,1,Harare,NULL,2,8,12,788,TRUE,TRUE,DRIVER,NONE,KILOMETER,PETROL,NONE,MIGRATION
65,AS82,ADB0919,NULL,1,NULL,NULL,NULL,1,,1300,NULL,NULL,NULL,42,NULL,15,12,15,13,1000,1,0,Harare,NULL,2,6,13,NULL,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
66,AS83,AFH0118,SUV Toyota Rav 4,1,2AZ-2569173,2007,Green,1,ACA365012099,,13,102,25021,60,NULL,15,12,11,9,1000,1,1,Harare ,NULL,2,1,1,2687,TRUE,TRUE,DRIVER,NONE,KILOMETER,PETROL,NONE,MIGRATION
67,AS84,AFG5787,LDV SC Toyota Land-Cruiser Pickup,1,JTELV73J307006065,2015,Beige,1,1VD0320756,4500cc,2,106,NULL,180,NULL,15,12,8,6,1000,1,1,Harare ,NULL,2,1,1,849,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
68,AS85,AFG5711,LDV SC Toyota Hilux,1,MROEB8CB600921135,2020,White,1,2GD0818997,2400cc,2,106,NULL,75,NULL,15,12,16,13,1000,1,1,Bulawayo,NULL,2,1,1,786,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
69,AS86,AFG5712,LDV SC TOYOTA HILUX,1,MROEB8CB800921122,2020,White,1,2GD0818912,2400cc,17,103,NULL,75,NULL,15,12,16,13,1000,1,1,Harare,NULL,2,1,1,854,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
70,AS87,AFK0833,LDV SC Toyota Land-Cruiser Pickup,1,JTELB71JZ707092184,2012,Khahi,1,1HZ0667094,4200cc,12,124,NULL,180,NULL,15,12,9,7,1000,1,1,Harare,NULL,2,1,1,532,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
71,AS88,AFK0834,LDV SC Toyota Land-Cruiser Pickup,7,JTELB71JX07097184,2011,Beige,1,1HZ0694170,4200cc,1,121,NULL,180,NULL,15,12,9,7,1000,1,1,Harare,NULL,2,1,1,2691,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
72,AS89,ACO4871,LDV SC Toyota Land-Cruiser Pickup,1,HZJ750050274,1998,Beige,1,1HZ0281018,4200cc,2,106,NULL,100,NULL,15,12,9,7,1000,1,1,Bulawayo ,NULL,2,1,1,2271,TRUE,TRUE,DRIVER,NONE,KILOMETER,DIESEL,NONE,MIGRATION
73,BA01,,Karoo Mobile Batch Plant,1,NULL,NULL,,1,,NULL,1,121,25045,500,NULL,15,12,0,0,1000,0,0,Harare,NULL,3,NULL,NULL,1628,FALSE,TRUE,OPERATOR,NONE,HOUR,DIESEL,NONE,MIGRATION
74,BC04,,NULL,1,NULL,NULL,NULL,1,,NULL,NULL,NULL,NULL,91,NULL,15,12,6,3,1000,0,0,Harare,NULL,4,9,NULL,NULL,TRUE,TRUE,OPERATOR,NONE,HOUR,DIESEL,NONE,MIGRATION
75,BC05,,"Loader Skid-Steer Hyundai HSL650 - 2,6 ton  0,4m3",1,NULL,NULL,,1,,NULL,0,268,NULL,72,NULL,15,12,4,2,1000,0,0,Harare,NULL,4,10,14,1408,TRUE,TRUE,OPERATOR,NONE,HOUR,DIESEL,NONE,MIGRATION
76,BC06,,"Loader Skid-Steer Bobcat S450 - 2,3 ton  0,4m3",1,NULL,NULL,,1,,NULL,1,121,NULL,65,NULL,15,12,4,2,1000,0,0,Harare,NULL,4,9,15,2588,TRUE,TRUE,OPERATOR,NONE,HOUR,DIESEL,NONE,MIGRATION
77,BC07,,"Loader Skid-Steer Bobcat S450 - 2,3 ton  0,4m3",1,NULL,NULL,,1,,NULL,1,267,NULL,65,NULL,15,12,4,2,1000,0,0,Harare,NULL,4,9,15,1835,TRUE,TRUE,OPERATOR,NONE,HOUR,DIESEL,NONE,MIGRATION
78,BL03,,Blower,1,NULL,NULL,,1,,NULL,NULL,NULL,25012,500,NULL,15,12,0,0,1000,0,0,Harare,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,DRIVER,NONE,HOUR,PETROL,NONE,MIGRATION
79,BL04,,Blower Stihl 511774103,1,NULL,NULL,,1,,NULL,NULL,NULL,25012,500,NULL,15,12,0,0,1000,0,0,Harare,NULL,NULL,11,16,NULL,FALSE,FALSE,DRIVER,NONE,HOUR,PETROL,NONE,MIGRATION
80,BL06,,Blower Husqvarna 580BTS,1,NULL,NULL,,1,,NULL,NULL,NULL,25012,500,NULL,15,12,0,0,1000,0,0,Harare,NULL,NULL,12,17,NULL,FALSE,FALSE,DRIVER,NONE,HOUR,PETROL,NONE,MIGRATION
81,BL07,,Blower Stihl BR600 Magnum,1,NULL,NULL,,1,,NULL,NULL,NULL,25012,500,NULL,15,12,0,0,1000,0,0,Harare,NULL,NULL,11,16,NULL,FALSE,FALSE,DRIVER,NONE,HOUR,PETROL,NONE,MIGRATION
82,BL08,,Blower Stihl BG56,1,NULL,NULL,,1,513435617,NULL,NULL,NULL,25012,500,NULL,15,12,0,0,1000,0,0,Harare,NULL,NULL,12,17,NULL,FALSE,FALSE,DRIVER,NONE,HOUR,PETROL,NONE,MIGRATION
83,BL09,,Blower Husqvarna 580BTS,1,NULL,NULL,,1,,NULL,NULL,NULL,25012,500,NULL,15,12,0,0,1000,0,0,Harare,NULL,NULL,12,17,NULL,FALSE,FALSE,DRIVER,NONE,HOUR,PETROL,NONE,MIGRATION
84,BL10,,Blower Husqvarna 580BTS,1,NULL,NULL,,1,,NULL,NULL,NULL,25012,500,NULL,15,12,0,0,1000,0,0,Harare,NULL,NULL,12,17,NULL,FALSE,FALSE,DRIVER,NONE,HOUR,PETROL,NONE,MIGRATION
85,BL11,,Blower Husqvarna 580BTS,1,NULL,NULL,,1,,NULL,NULL,NULL,25012,500,NULL,15,12,0,0,1000,0,0,Harare,NULL,NULL,12,17,NULL,FALSE,FALSE,DRIVER,NONE,HOUR,PETROL,NONE,MIGRATION
86,BL12,,Blower Husqvarna 580BTS,1,NULL,NULL,,1,,NULL,NULL,NULL,25012,500,NULL,15,12,0,0,1000,0,0,Harare,NULL,NULL,12,17,NULL,FALSE,FALSE,DRIVER,NONE,HOUR,PETROL,NONE,MIGRATION
87,BL13,,Blower Husqvarna 580BTS,1,NULL,NULL,,1,20213301236,NULL,NULL,NULL,25012,500,NULL,15,12,0,0,1000,0,0,Harare,NULL,NULL,12,17,NULL,FALSE,FALSE,DRIVER,NONE,HOUR,PETROL,NONE,MIGRATION
88,BP01,,Bitumen Pump,1,NULL,NULL,,1,,NULL,NULL,NULL,25059,500,NULL,15,12,0,0,1000,0,0,Harare,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,DRIVER,NONE,HOUR,DIESEL,NONE,MIGRATION
89,BT03,,"Bitumen Tank , 23 ton for AP01",1,NULL,NULL,,1,,NULL,NULL,NULL,25058,500,NULL,15,12,0,0,1000,0,0,Harare,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,DRIVER,NONE,HOUR,DIESEL,NONE,MIGRATION
90,BT04,,"Bitumen Tank , 23 ton for AP01",1,NULL,NULL,,1,,NULL,NULL,NULL,25058,500,NULL,15,12,0,0,1000,0,0,Harare,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,DRIVER,NONE,HOUR,DIESEL,NONE,MIGRATION
91,BT05,,"Bitumen Tank , 65 ton on AP2 Trailer-4",1,NULL,NULL,,1,,NULL,NULL,NULL,25058,500,NULL,15,12,0,0,1000,0,0,Harare,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,DRIVER,NONE,HOUR,DIESEL,NONE,MIGRATION
92,BT06,NEW to arrive,"Bitumen Tank , 27 ton",1,NULL,NULL,,1,,NULL,NULL,NULL,25058,500,NULL,15,12,0,0,1000,0,0,Harare,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,DRIVER,NONE,HOUR,DIESEL,NONE,MIGRATION
95,CC01,,NULL,1,NULL,NULL,NULL,1,,NULL,NULL,NULL,25036,5,NULL,15,12,0,0,1000,0,0,Harare,NULL,NULL,NULL,18,NULL,FALSE,FALSE,DRIVER,NONE,HOUR,PETROL,NONE,MIGRATION
96,CC02,,Concrete Cutter,1,NULL,NULL,,1,,NULL,NULL,NULL,25036,500,NULL,15,12,0,0,1000,0,0,Harare,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,DRIVER,NONE,HOUR,PETROL,NONE,MIGRATION
97,CC03,,NULL,1,NULL,NULL,NULL,1,Honda GX270,NULL,NULL,NULL,25036,5,NULL,15,12,0,0,1000,0,0,Harare,NULL,NULL,NULL,18,NULL,FALSE,FALSE,DRIVER,NONE,HOUR,PETROL,NONE,MIGRATION
98,CC04,,Concrete Cutter,1,NULL,NULL,,1,,NULL,NULL,NULL,25036,500,NULL,15,12,0,0,1000,0,0,Harare,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,DRIVER,NONE,HOUR,PETROL,NONE,MIGRATION
99,CC05,,Concrete Saw Push 13HP 012007,1,NULL,NULL,,1,,NULL,NULL,NULL,25036,500,NULL,15,12,0,0,1000,0,0,Harare,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,DRIVER,NONE,HOUR,PETROL,NONE,MIGRATION
100,CC06,,Concrete Saw Push GX390 012011,1,NULL,NULL,,1,,NULL,NULL,NULL,25036,500,NULL,15,12,0,0,1000,0,0,Harare,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,DRIVER,NONE,HOUR,PETROL,NONE,MIGRATION
101,CC07,,Concrete Saw Push GX390 012027,1,NULL,NULL,,1,,NULL,NULL,NULL,25036,500,NULL,15,12,0,0,1000,0,0,Harare,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,DRIVER,NONE,HOUR,PETROL,NONE,MIGRATION
102,CC08,,Concrete Saw Push GX390 012043,1,NULL,NULL,,1,,NULL,NULL,NULL,25036,500,NULL,15,12,0,0,1000,0,0,Harare,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,DRIVER,NONE,HOUR,PETROL,NONE,MIGRATION
103,CC09,,Asphalt Cutter Husqvarna,1,NULL,0,,1,2016 4800028,NULL,NULL,NULL,25036,500,NULL,15,12,0,0,1000,0,0,Harare,NULL,NULL,12,17,NULL,FALSE,FALSE,DRIVER,NONE,HOUR,PETROL,NONE,MIGRATION
104,CC10,,Concrete Cutter Q1217050118,1,NULL,NULL,,1,Q1217050118,NULL,NULL,NULL,25036,500,NULL,15,12,0,0,1000,0,0,Harare,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,DRIVER,NONE,HOUR,PETROL,NONE,MIGRATION
105,CC11,,Concrete Cutter Q1117050120,1,NULL,NULL,,1,Q1117050120,NULL,NULL,NULL,25036,500,NULL,15,12,0,0,1000,0,0,Harare,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,DRIVER,NONE,HOUR,PETROL,NONE,MIGRATION
