contract_division_id,contract_division_number,company_id,contract_division_name,build_smart_reference,shift_start,hr_hours_monday_thursday,hr_hours_friday,add_hours_monday_friday,add_hours_weekend,contract_division_type,completed,created_by
64,C0205,1,Boterekwa Pass Rehabilitation,C205,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
65,C0206,1,Nyahodi 4 Bridge Approches,C206,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
66,C0207,1,Arcadia Mine Access Road Design,C207,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
67,C0208,1,"Swift Depot Resurfacing, Unifreight",C208,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
68,C0209,1,Harare - Chirundu Early Works (CSR),C209,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
69,C0210,1,"Harare Beitbridge Phase 4 Lot 23 km 90,0 to 105,8",C210,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
70,C0211,1,Cyber City Civil Works,C211,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
71,C0212,1,Harare Drive Dualisation,C212,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
72,C0213,1,"Mazowe Street Rehab, Harare",C213,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
73,C0214,1,Herbert Chitepo Avenue Extension Rehab,C214,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
74,C0215,1,"Mboe River Drainage Structure, Chokoza",C215,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
75,C0216,1,Muchesu Coal Mine,C216,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
76,C0217,1,Stonehill Farm,C217,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
77,C0218,1,Nottingham Estate Remedial Works,C218,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
78,C0219,1,Blanket Mine,C219,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
79,C0220,1,Bilboes Mie,C220,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
80,C0221,1,Unki Mine,C221,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
81,C0222,1,"MoT Earthworks, Beitbridge",C222,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
82,C0223,1,R Davis General Expense,C223,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
83,C0224,1,Mabvuku Remedial Works,C224,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
84,C0225,1,Road Maintenance BB-BYO-VF,C225,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
85,C0226,1,Pomona Gate House,C226,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
86,C0227,1,Karo Mine Tailings,C227,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
87,C5096,1,CSR,5096,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
88,C5120,1,Luna Road Works,5120,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
89,C5142,1,Willowmead Lane,5142,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
90,TEST,1,TEST,NULL,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
91,M0001,1,Sandawana Crushing Project,NULL,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
92,C0228,1,Asset Management Centre,C228,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
93,C0229,1,VID Hardstand Beitbridge,C229,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
94,C0230,1,Cyber City Bulk Infrastructure,C230,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
95,C0232,1,Chisipite Astro Turf Surfacing,C232,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
96,C0233,1,New Parliament Access Roads,C233,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
97,C0231,1,Manyame Airbase Hardstands,C231,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
98,C0234,1,Buffalo Range Taxiway AC Overlay,C234,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
99,C0235,1,"Presidential Villas, Mt Hampden",C235,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
100,C0236,1,Greenfields Centre Surfacing,C236,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
101,C0237,1,Mberengwa Mine Exploration,C237,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
102,1,1,Finance and Admin,1,07:00:00,9,8,1,0.5,DIVISION,FALSE,MIGRATION
103,2,1,Commercial Department,2,07:00:00,9,8,1,0.5,DIVISION,FALSE,MIGRATION
104,3,1,Special Projects Office,3,07:00:00,9,8,1,0.5,DIVISION,FALSE,MIGRATION
105,4,1,SHEQ Department,4,07:00:00,9,8,1,0.5,DIVISION,FALSE,MIGRATION
106,5,1,Projects Management,5,07:00:00,9,8,1,0.5,DIVISION,FALSE,MIGRATION
120,19,1,Yard Stock,19,07:00:00,9,8,1,0.5,DIVISION,FALSE,MIGRATION
121,20,1,P-E Overheads - Harare Workshop,20,07:00:00,9,8,1,0.5,DIVISION,FALSE,MIGRATION
122,21,1,P-E Overheads - Bulawayo Workshop,21,07:00:00,9,8,1,0.5,DIVISION,FALSE,MIGRATION
123,22,1,P-E Overheads - Asset Management Centre,22,07:00:00,9,8,1,0.5,DIVISION,FALSE,MIGRATION
124,23,1,P-E Overheads - Training Centre,23,07:00:00,9,8,1,0.5,DIVISION,FALSE,MIGRATION
125,24,1,P-E Overheads - Aircraft,24,07:00:00,9,8,1,0.5,DIVISION,FALSE,MIGRATION
146,TCM003,7,TCM003,NULL,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
147,TCM007,7,TCM007 Fura,NULL,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
151,50,1,Manufacturing Overheads,50,07:00:00,9,8,1,0.5,DIVISION,FALSE,MIGRATION
152,51,1,Asphalt Plant 1 - Static 70 ton-hr - HRE Airport - AP01,51,07:00:00,9,8,1,0.5,DIVISION,FALSE,MIGRATION
153,52,1,Asphalt Plant 2 - Ammann Mobi-Flex 80 - Lutumba - AP12,52,07:00:00,9,8,1,0.5,DIVISION,FALSE,MIGRATION
154,53,1,Asphalt Plant 3 - Valuetec ABC-140 -  Makuti - AP20,53,07:00:00,9,8,1,0.5,DIVISION,FALSE,MIGRATION
155,54,1,Asphalt Plant 4 - Sinoroader 6 ton-hr -Gwayi - AP21,54,07:00:00,9,8,1,0.5,DIVISION,FALSE,MIGRATION
156,55,1,Asphalt Plant 5 - Sinoroader 1 ton/hr Trailer Mt - AP22,55,07:00:00,9,8,1,0.5,DIVISION,FALSE,MIGRATION
157,56,1,Asphalt Plant 6 - Ammann  120 ton/hr - Glenlussa - AP23,56,07:00:00,9,8,1,0.5,DIVISION,FALSE,MIGRATION
182,81,1,Crushing Plant 1 - McCloskey 145 - Glenlussa - CR01,81,07:00:00,9,8,1,0.5,DIVISION,FALSE,MIGRATION
183,82,1,Crushing Plant 2 - Terex Finlay j-1175 -Glenlussa -CR05,82,07:00:00,9,8,1,0.5,DIVISION,FALSE,MIGRATION
184,83,1,Crushing Plant 3 - Terex Finlay J-1175 -Glenlussa-CR09,83,07:00:00,9,8,1,0.5,DIVISION,FALSE,MIGRATION
185,84,1,Crushing Plant 4 - Tsomboli,84,07:00:00,9,8,1,0.5,DIVISION,FALSE,MIGRATION
186,85,1,Crushing Plant 5 - Gwayi,85,07:00:00,9,8,1,0.5,DIVISION,FALSE,MIGRATION
187,86,1,Crushing Plant 6 - Glenlussa,86,07:00:00,9,8,1,0.5,DIVISION,FALSE,MIGRATION
212,111,1,Pre-Cast Yard 01,111,07:00:00,9,8,1,0.5,DIVISION,FALSE,MIGRATION
213,112,1,Pre-Cast Yard 02,112,07:00:00,9,8,1,0.5,DIVISION,FALSE,MIGRATION
214,113,1,Pre-Cast Yard 03,113,07:00:00,9,8,1,0.5,DIVISION,FALSE,MIGRATION
242,141,1,Concrete Batch Plant - Karoo 30 m3-hr - Mt Hampden-BA01,141,07:00:00,9,8,1,0.5,DIVISION,FALSE,MIGRATION
243,142,1,Concrete Batch Plant - Metate 90 m -  BA02,142,07:00:00,9,8,1,0.5,DIVISION,FALSE,MIGRATION
244,143,1,Concrete Batch Plant - Karoo 30 m3-hr - Mt Hampden-BA03,143,07:00:00,9,8,1,0.5,DIVISION,FALSE,MIGRATION
245,144,1,Concrete Batch Plant - Karoo 30 m3-hr - Mt Hampden-BA04,144,07:00:00,9,8,1,0.5,DIVISION,FALSE,MIGRATION
246,145,1,Concrete Batch Plant - Karoo 30 m3-hr - Mt Hampden-BA05,145,07:00:00,9,8,1,0.5,DIVISION,FALSE,MIGRATION
250,C0238,1,Bumi Hills Airstrip Works ,C238,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
251,C0239,1, Rushinga Calcite Mine Exploration,C239,07:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
252,T29,7,T29,NULL,06:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
253,MMP,7,MMP - Manica,NULL,06:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
254,C0240,1,High Glen Road Upgrade Phase 1,C240,06:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
255,C0241,1,Construction Of Kwadzana Interchange,C241,06:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
256,C0242,1,Old Mazoe Road Extension,C242,06:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
257,C0243,1,Harare South Logistics Routes,C243,06:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
258,C0244,1,Latter Day Saints Re-surfacing,C244,06:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
259,C0245,1,Metcalf and Stewart Roads Overlay,C245,06:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
260,C0246,1,Prospect One Developments,C246,06:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
261,C0247,1,Cut Rag Asphalt Surfacing ,C247,06:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
262,C0248,1,Falcon College Astro Turf,C248,06:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
263,6,1,Human Resources,6,06:00:00,9,8,1,0.5,DIVISION,FALSE,MIGRATION
264,C0249,1,Tantallon Housing Development,C249,06:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
265,C0250,1,Beitbridge Victoria Falls PPP Project,C250,06:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
266,C0251,1,CIMMYT Access Road,C251,06:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
267,C0253,1,Gecko Gardens,C253,06:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
268,C0252,1,NSCL JICA Section,C252,06:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
269,710201,1,R. Davis And Co - Intercompany Account,7192,06:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
270,C0254,1,National Foods Aspindale,C254,06:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
271,710202,1,Tayanna Intercompany Account,NULL,06:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
272,C5121,1,Gecko Gardens,C512,06:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
273,7,1,IT Department,7,06:00:00,9,8,1,0.5,DIVISION,FALSE,MIGRATION
274,PHR7,2,Workshop - Head Office,NULL,06:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
275,PHR1,2,Freda Rebecca Surface,NULL,06:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
276,PHR22,2,Freda Rebecca TSF,NULL,06:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
277,PHR19,2,Blanket TSF,NULL,06:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
278,PHR2,2,Freda Rebecca Underground,NULL,06:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
279,PHR5,2,LDS,NULL,06:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
280,PHR24,2,Prospect Development Civil Infrastructure,NULL,06:00:00,9,8,1,0.5,CONTRACT,FALSE,MIGRATION
