plant_subcategory_id,plant_subcategory_code,plant_subcategory_description,created_by
83,"MGR02 "," Motor Grader ( 18t , 220hp ) eg. 160K",MIGRATION
84,"PCM01 "," Plate Compactor",MIGRATION
85,"PGH02 "," Construction Mixing Plough",MIGRATION
86,"PRW01 "," Pressure Washer",MIGRATION
87,"PVR01 "," Asphalt Paver - 300 tons/hr",MIGRATION
88,"PVR02 "," Asphalt Paver - 600 tons/hr",MIGRATION
89,"PVR05 "," Asphalt Power Feeder - 1200 tons/hr",MIGRATION
90,"RBM01 "," Rotary Broom - Towed & Chain Driven",MIGRATION
91,"RBM02 "," Rotary Broom - Towed & Engine Driven",MIGRATION
92,"RBM03 "," Rotary Broom - Self Propelled",MIGRATION
93,"RCL01 "," Recycler - 2,4m  480hp",MIGRATION
94,"RCL02 "," Recycler - 2,6m  590hp",MIGRATION
95,"RLP01 "," Roller Pneumatic - 20 ton",MIGRATION
96,"RLP02 "," Roller Pneumatic - 27 ton",MIGRATION
97,"RLV01 "," Roller Pedestrian - 1,0 ton",MIGRATION
98,"RLV02 "," Roller Pedestrian - 1,5 ton",MIGRATION
99,"RLV03 "," Roller Single Drum - 12 ton",MIGRATION
100,"RLV04 "," Roller Single Drum - 20 ton",MIGRATION
101,"RMK01 "," Road Marking Machine - Self Propelled Stand-on",MIGRATION
102,"RVL05 "," Roller Double Drum - 3 ton",MIGRATION
103,"RVL06 "," Roller Double Drum - 10 ton",MIGRATION
104,"SJK01 "," Mechanical Lift - 0 to 30 ft",MIGRATION
105,"STP02 "," Static Tank Plastic Jojo -   5 000 Ltr",MIGRATION
106,"STP03 "," Static Tank Plastic Jojo - 10 000 Ltr",MIGRATION
107,"SUR01 "," Survey - GPS System",MIGRATION
108,"SUR02 "," Survey - Robotic Total Station",MIGRATION
109,"SUR03 "," Survey - Mechanical Total Station",MIGRATION
110,"SUR04 "," Survey - Automatic Level",MIGRATION
111,"SWE01 "," Specialist Workshop Equipment",MIGRATION
112,"TBT01 "," Bitumen Tanker Trailer - 30 000 Ltr",MIGRATION
113,"TBT02 "," Bitumen Tanker Trailer - 18 000 Ltr",MIGRATION
114,"TRG01 "," Trailer General Purpose - Small",MIGRATION
115,"TRG02 "," Trailer General Purpose Flat Deck",MIGRATION
116,"TRL01 "," Trailer Lowbed Step-deck - 20 ton",MIGRATION
117,"TRL02 "," Trailer Lowbed Step-deck - 30 ton",MIGRATION
118,"TST01 "," Interlink Side Tipper - 25 m3",MIGRATION
119,"WAP01 "," Water Pump - 2 inch",MIGRATION
120,"WAP02 "," Water Pump - 4 inch",MIGRATION
121,"WAP03 "," Water Pump - 6 inch",MIGRATION
122,"WBD01 "," Weighbridge - up to 12m long",MIGRATION
123,"WBD02 "," Weighbridge - 12m to 22m long",MIGRATION
124,"WBR01 "," Water Bowser : 10 to 20 kl",MIGRATION
125,"WLB01 "," TLB ( 7,8 t , 1,1 m3 bucket )",MIGRATION
126,"WLB02 "," TLB ( 8,7 t , 1,3 m3 bucket )",MIGRATION
127,"WLD02 "," Wheeled Loader ( 5 ton , bucket = 1,0 m3 )",MIGRATION
128,"WLD03 "," Wheeled Loader ( 12 ton , bucket = 1,8 m3 )",MIGRATION
129,"WLD04 "," Wheeled Loader ( 14 ton , bucket = 2,4 m3 )",MIGRATION
130,"WLD05 "," Wheeled Loader ( 17 ton , bucket = 3,1 m3 )",MIGRATION
131,"WLD06 "," Wheeled Loader ( 24 ton , bucket = 4,5 m3 )",MIGRATION
132,"WLF01 "," Loader Forklift ( 1,0 to 3,5 ton )",MIGRATION
133,"WLM01 "," Welding Machine",MIGRATION
134,"WLS02 "," Loader Skid-Steer (up to 2,5 t , 0,4m3 bucket)",MIGRATION
135,"WTC01 "," Tractor - < 50 hp , 2wd",MIGRATION
136,"WTC02 "," Tractor - < 100 hp , 2wd",MIGRATION
137,"WTC03 "," Tractor - < 150 hp , 4wd",MIGRATION
