asset_plant_service_reading_id,asset_plant_id,next_service_smr_reading,estimated_units_per_day,estimated_next_service_date,latest_smr_readings,service_interval,last_service_date,latest_smr_date,last_service_smr,service_unit,created_by,created_date,last_modified_by,last_modified_date
150,170,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
151,171,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
152,172,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
153,173,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
154,174,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
155,176,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
156,177,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
157,178,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
158,179,6000,NULL,NULL,NULL,250,NULL,NULL,5750,HOURS,MIGRATION,,,
159,180,10000,NULL,NULL,NULL,10000,NULL,NULL,NULL,HOURS,MIGRATION,,,
160,181,10000,NULL,NULL,NULL,10000,NULL,NULL,NULL,HOURS,MIGRATION,,,
161,182,5810,1,26/9/2025,5660,250,26/11/2024,15/5/2025,5560,HOURS,MIGRATION,,,
162,183,10000,NULL,NULL,NULL,10000,NULL,NULL,NULL,HOURS,MIGRATION,,,
163,185,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
164,188,9000,1,2/10/2025,8834,250,24/4/2024,19/5/2025,8750,HOURS,MIGRATION,,,
165,190,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
166,191,10000,NULL,NULL,NULL,10000,NULL,NULL,NULL,HOURS,MIGRATION,,,
167,192,10000,NULL,NULL,NULL,10000,NULL,NULL,NULL,HOURS,MIGRATION,,,
168,193,10000,NULL,NULL,NULL,10000,NULL,NULL,NULL,HOURS,MIGRATION,,,
169,194,10000,NULL,NULL,NULL,10000,NULL,NULL,NULL,HOURS,MIGRATION,,,
170,195,10000,NULL,NULL,NULL,10000,NULL,NULL,NULL,HOURS,MIGRATION,,,
171,196,10000,NULL,NULL,NULL,10000,NULL,NULL,NULL,HOURS,MIGRATION,,,
172,197,4320,5,24/5/2025,4292,250,10/3/2025,19/5/2025,4070,HOURS,MIGRATION,,,
173,198,4190,4,18/6/2025,4062,250,24/2/2025,19/5/2025,3940,HOURS,MIGRATION,,,
174,199,14250,NULL,NULL,NULL,250,13/3/2024,NULL,14000,HOURS,MIGRATION,,,
175,200,1950,1,14/1/2026,1708,250,15/11/2024,17/5/2025,1700,HOURS,MIGRATION,,,
176,201,7000,1,1/2/2026,6742,250,5/4/2024,19/5/2025,6750,HOURS,MIGRATION,,,
177,202,12750,6,28/5/2025,12691,250,5/4/2025,19/5/2025,12500,HOURS,MIGRATION,,,
178,203,10111,2,12/7/2025,10022,250,5/2/2025,20/5/2025,9861,HOURS,MIGRATION,,,
179,204,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
180,205,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
181,206,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
182,207,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
183,208,NULL,NULL,NULL,9755,NULL,NULL,24/1/2025,NULL,HOURS,MIGRATION,,,
184,209,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
185,210,11750,4,29/6/2025,11593,250,19/4/2025,17/5/2025,11500,HOURS,MIGRATION,,,
186,211,11750,4,7/6/2025,11671,250,5/4/2025,19/5/2025,11500,HOURS,MIGRATION,,,
187,212,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
188,213,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
189,214,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
190,217,NULL,NULL,NULL,0,NULL,NULL,14/2/2025,NULL,HOURS,MIGRATION,,,
191,218,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
192,219,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
193,220,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
194,221,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
195,222,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
196,223,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
197,224,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
198,225,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
199,226,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
200,227,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
201,228,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
202,229,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
203,230,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
204,231,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
205,232,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
206,233,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
207,234,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
208,235,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
209,236,206000,62,10/7/2025,202759,15000,24/10/2024,19/5/2025,191000,KILOMETER,MIGRATION,,,
210,237,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
211,238,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
212,239,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
213,240,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
214,241,12250,2,3/7/2025,12175,250,13/9/2024,19/5/2025,12000,HOURS,MIGRATION,,,
215,242,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
216,243,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
217,244,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
218,245,500,4,5/6/2025,437,250,25/3/2025,20/5/2025,250,HOURS,MIGRATION,,,
219,246,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
220,247,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
221,248,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
222,249,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
223,250,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
224,251,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
225,252,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
226,253,722000,111,17/8/2025,712052,15000,3/4/2025,19/5/2025,707000,KILOMETER,MIGRATION,,,
227,254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
228,255,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
229,256,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
230,257,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
231,258,1000000,121,3/8/2025,990758,15000,26/3/2025,19/5/2025,985000,KILOMETER,MIGRATION,,,
232,259,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
233,260,20750,3,7/8/2025,20480,250,30/4/2025,20/5/2025,20500,HOURS,MIGRATION,,,
234,261,21750,2,1/7/2025,21651,250,22/2/2025,14/5/2025,21500,HOURS,MIGRATION,,,
235,262,18685,4,26/8/2027,15684,250,6/4/2025,19/5/2025,18435,HOURS,MIGRATION,,,
236,263,19750,4,10/7/2025,19563,250,10/5/2025,20/5/2025,19500,HOURS,MIGRATION,,,
237,264,15500,2,24/5/2025,15490,250,14/2/2025,19/5/2025,15250,HOURS,MIGRATION,,,
238,265,16250,2,13/10/2025,16018,250,24/4/2025,20/5/2025,16000,HOURS,MIGRATION,,,
239,266,63000,22,22/3/2025,60643,10000,15/2/2024,5/12/2024,53000,KILOMETER,MIGRATION,,,
240,267,11000,20,27/5/2025,10850,250,8/5/2025,19/5/2025,10750,HOURS,MIGRATION,,,
241,268,10726,5,16/6/2025,10597,250,3/5/2025,19/5/2025,10476,HOURS,MIGRATION,,,
242,269,4250,NULL,NULL,NULL,250,3/12/2021,NULL,4000,HOURS,MIGRATION,,,
243,270,8000,1,9/1/2026,7765,250,24/6/2023,19/5/2025,7750,HOURS,MIGRATION,,,
244,271,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
245,273,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
246,274,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
247,275,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
248,276,545732,NULL,NULL,542388,10000,17/5/2022,17/5/2025,535732,KILOMETER,MIGRATION,,,
249,277,400000,103,20/6/2025,396675,10000,11/4/2025,19/5/2025,390000,KILOMETER,MIGRATION,,,
250,278,21250,5,9/6/2025,21140,250,30/4/2025,19/5/2025,21000,HOURS,MIGRATION,,,
251,279,3000,4,21/7/2025,2775,250,8/5/2025,19/5/2025,2750,HOURS,MIGRATION,,,
252,280,2000,3,27/6/2025,1901,250,11/2/2025,19/5/2025,1750,HOURS,MIGRATION,,,
253,281,500000,24,25/5/2082,199,10000,4/2/2024,19/5/2025,490000,HOURS,MIGRATION,,,
254,282,309000,140,10/6/2025,305903,10000,10/4/2025,19/5/2025,299000,KILOMETER,MIGRATION,,,
255,283,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
256,284,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
257,285,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
258,286,105000,NULL,NULL,NULL,10000,30/8/2023,NULL,95000,KILOMETER,MIGRATION,,,
259,287,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KILOMETER,MIGRATION,,,
260,288,1650,1,24/6/2025,1610,250,15/1/2025,20/5/2025,1400,HOURS,MIGRATION,,,
261,289,230000,51,29/9/2025,223212,10000,25/3/2025,19/5/2025,220000,KILOMETER,MIGRATION,,,
262,290,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOURS,MIGRATION,,,
